event_time,event_type,organisation_name,place_name,asset_name,asset_type,module_id
2021-02-21 21:53:13,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,598-84-6937
2021-02-17 3:30:08,Connected,"Taylor, Flores and Douglas","Martinez, Pruitt and Wheeler",KN-GWX-65,3,
2021-02-17 5:31:08,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,877-10-5115
2021-02-16 19:16:11,Connected,Larson-Mccall,Benson Ltd,MO-RQJ-49,8,
2021-02-22 2:00:08,Connected,"Taylor, Flores and Douglas",Cantu-Lane,DT-XSY-00,3,
2021-02-23 5:01:21,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-21 16:24:05,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-17 20:58:41,Connected,"Taylor, Flores and Douglas",Brown-Jenkins,CF-MQK-54,3,
2021-02-21 10:15:22,Connected,"Taylor, Flores and Douglas","Knox, Mills and Keith",WT-JZS-58,3,
2021-02-23 8:45:23,Connected,"Taylor, Flores and Douglas","Wade, Ruiz and Harrison",KL-KYK-17,3,
2021-02-17 7:15:08,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-17 6:13:01,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-19 15:21:37,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-20 8:08:04,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,
2021-02-17 4:31:25,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-20 13:37:27,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-16 19:45:59,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,598-84-6937
2021-02-21 3:15:14,Connected,"Taylor, Flores and Douglas","Bell, Turner and Rodriguez",EI-IUO-83,3,
2021-02-22 8:46:49,Connected,Larson-Mccall,Benson Ltd,GR-TDN-28,8,
2021-02-20 9:09:09,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-17 9:07:32,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-22 7:15:21,Connected,"Taylor, Flores and Douglas",Knight PLC,XQ-ZSS-50,3,
2021-02-17 6:57:58,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-22 2:39:47,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-23 2:03:10,Connected,"Taylor, Flores and Douglas","Bell, Turner and Rodriguez",EI-IUO-83,3,
2021-02-22 14:00:49,Connected,"Taylor, Flores and Douglas",Brown-Jenkins,CF-MQK-54,3,
2021-02-22 7:51:38,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-16 23:00:08,Connected,"Taylor, Flores and Douglas",Matthews-Phillips,YW-QRR-91,3,
2021-02-16 11:22:33,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-19 4:23:58,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-22 8:51:00,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-17 18:40:36,Disconnected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,591-45-2627
2021-02-22 20:08:57,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,598-84-6937
2021-02-23 8:00:20,Connected,"Taylor, Flores and Douglas","Young, Fox and Bryant",UM-XEZ-99,3,
2021-02-20 5:55:58,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-16 15:40:15,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-17 8:34:07,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-19 18:49:16,Connected,"Taylor, Flores and Douglas","Young, Fox and Bryant",UM-XEZ-99,3,
2021-02-21 3:44:24,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-21 8:54:06,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-17 5:45:08,Connected,"Taylor, Flores and Douglas",Matthews-Phillips,YW-QRR-91,3,
2021-02-19 3:14:50,Connected,"Taylor, Flores and Douglas",Matthews-Phillips,PD-PFG-92,3,
2021-02-17 3:07:01,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-23 6:38:07,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,
2021-02-22 4:24:47,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-20 14:51:25,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-20 2:19:52,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-21 10:07:31,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-22 19:15:55,Connected,"Taylor, Flores and Douglas",Brown-Jenkins,CK-XNN-42,3,
2021-02-17 5:59:01,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-17 3:35:38,Connected,"Taylor, Flores and Douglas",Ochoa-Chavez,XZ-XXC-35,3,
2021-02-22 6:23:53,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-18 23:15:31,Connected,"Taylor, Flores and Douglas",Torres-Wilson,XO-BQH-64,3,
2021-02-21 12:30:07,Connected,"Taylor, Flores and Douglas",Matthews-Phillips,PD-PFG-92,3,
2021-02-18 13:20:26,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-16 18:55:41,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,598-84-6937
2021-02-19 8:11:07,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-19 6:18:48,Connected,"Taylor, Flores and Douglas",Brown-Jenkins,CF-MQK-54,3,
2021-02-23 7:34:26,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-20 14:39:37,Connected,"Taylor, Flores and Douglas","Booth, Gregory and Saunders",ZU-MOT-42,3,
2021-02-19 7:29:38,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-19 22:35:39,Connected,"Taylor, Flores and Douglas",Gallagher-Moore,WF-QFJ-09,3,
2021-02-19 5:20:53,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-23 8:17:20,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-23 3:19:14,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-17 2:45:10,Disconnected,"Taylor, Flores and Douglas",Ochoa-Chavez,XZ-XXC-35,3,
2021-02-20 4:53:56,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-23 5:04:20,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-17 20:45:08,Connected,"Taylor, Flores and Douglas",Matthews-Phillips,YW-QRR-91,3,
2021-02-16 6:31:52,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-17 2:00:08,Connected,"Taylor, Flores and Douglas",Alvarado-Alexander,QT-LTC-56,3,
2021-02-21 14:50:04,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-15 18:50:01,Connected,Larson-Mccall,Benson Ltd,XX-PXF-22,8,
2021-02-22 5:46:22,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-23 3:30:22,Connected,"Taylor, Flores and Douglas","Knox, Mills and Keith",WT-JZS-58,3,
2021-02-23 7:03:22,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-22 8:45:21,Connected,"Taylor, Flores and Douglas","Knox, Mills and Keith",WT-JZS-58,3,
2021-02-21 8:50:42,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-17 7:20:54,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-20 16:33:26,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-23 3:38:07,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,
2021-02-19 13:37:58,Connected,"Taylor, Flores and Douglas",Brown-Jenkins,CK-XNN-42,3,
2021-02-16 10:40:03,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-23 6:50:41,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-22 15:51:24,Connected,"Taylor, Flores and Douglas","Martinez, Pruitt and Wheeler",KN-GWX-65,3,
2021-02-22 11:47:47,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-19 13:34:03,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-19 13:00:44,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-19 2:00:49,Connected,"Taylor, Flores and Douglas",Gallagher-Moore,WF-QFJ-09,3,
2021-02-16 8:14:01,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-22 9:15:28,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-20 3:40:49,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-20 4:33:54,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-22 6:01:48,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-17 20:47:17,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,598-84-6937
2021-02-19 12:48:05,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-22 10:09:53,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-22 2:00:07,Disconnected,"Taylor, Flores and Douglas",Brown-Jenkins,CK-XNN-42,3,
2021-02-17 0:02:42,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,647-80-6730
2021-02-19 11:08:24,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-22 17:01:11,Connected,Larson-Mccall,Benson Ltd,MO-RQJ-49,8,
2021-02-18 21:18:05,Connected,"Taylor, Flores and Douglas","Harris, Gross and Schmidt",EW-ONE-19,3,
2021-02-20 15:10:19,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-17 7:15:08,Connected,"Taylor, Flores and Douglas","Martinez, Pruitt and Wheeler",KN-GWX-65,3,
2021-02-21 18:59:12,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-22 0:04:54,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,598-84-6937
2021-02-21 23:49:52,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,598-84-6937
2021-02-17 14:21:52,Connected,"Taylor, Flores and Douglas","Parks, Nash and Espinoza",YN-NZP-03,3,
2021-02-22 12:38:02,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-20 14:45:08,Connected,"Taylor, Flores and Douglas","Martinez, Pruitt and Wheeler",KN-GWX-65,3,
2021-02-17 7:50:23,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-20 11:38:15,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-17 13:01:21,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-21 14:46:15,Connected,"Taylor, Flores and Douglas",Gallagher-Moore,IO-MMI-57,3,
2021-02-18 12:48:33,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-21 11:36:56,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,
2021-02-22 12:51:51,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-19 15:00:38,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-23 3:30:11,Disconnected,"Taylor, Flores and Douglas",Ochoa-Chavez,XZ-XXC-35,3,
2021-02-21 21:30:41,Disconnected,Gonzalez-Hancock,Thompson Group,SL-UAD-50,8,
2021-02-21 14:49:16,Disconnected,Larson-Mccall,Benson Ltd,GR-TDN-28,8,
2021-02-20 15:58:22,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-21 14:12:05,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-20 21:09:10,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,598-84-6937
2021-02-22 18:29:35,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,598-84-6937
2021-02-21 20:45:22,Connected,"Taylor, Flores and Douglas","Knox, Mills and Keith",WT-JZS-58,3,
2021-02-17 6:52:23,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-18 14:39:40,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-18 21:30:47,Connected,"Taylor, Flores and Douglas",Brown-Jenkins,CF-MQK-54,3,
2021-02-16 6:05:51,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-15 17:30:27,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-20 4:18:50,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-16 22:15:57,Connected,"Taylor, Flores and Douglas",Brown-Jenkins,CK-XNN-42,3,
2021-02-18 15:23:19,Connected,"Taylor, Flores and Douglas","Booth, Gregory and Saunders",ZU-MOT-42,3,
2021-02-19 23:40:12,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,598-84-6937
2021-02-22 3:02:46,Disconnected,"Taylor, Flores and Douglas","Bell, Turner and Rodriguez",EI-IUO-83,3,
2021-02-22 8:49:36,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-22 5:33:48,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-18 11:45:20,Connected,"Taylor, Flores and Douglas",Knight PLC,XQ-ZSS-50,3,
2021-02-20 12:30:08,Connected,"Taylor, Flores and Douglas",Matthews-Phillips,PD-PFG-92,3,
2021-02-21 11:31:58,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-23 8:48:26,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-19 11:00:07,Connected,"Taylor, Flores and Douglas","Harris, Gross and Schmidt",EW-ONE-19,3,
2021-02-22 6:31:11,Connected,Larson-Mccall,Benson Ltd,MO-RQJ-49,8,
2021-02-20 7:25:02,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-20 13:38:55,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-17 9:50:07,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-23 8:01:11,Connected,Larson-Mccall,Benson Ltd,MO-RQJ-49,8,
2021-02-19 13:10:14,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-17 8:00:21,Connected,"Taylor, Flores and Douglas","Parks, Nash and Espinoza",YN-NZP-03,3,
2021-02-17 13:39:22,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-23 7:29:39,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-16 17:30:18,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-23 8:51:19,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-22 16:34:55,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-22 13:56:54,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-17 16:05:27,Disconnected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-19 19:16:23,Connected,"Taylor, Flores and Douglas",Gallagher-Moore,IO-MMI-57,3,
2021-02-23 3:14:01,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,
2021-02-23 3:00:14,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-19 23:39:53,Connected,"Taylor, Flores and Douglas",Gallagher-Moore,IO-MMI-57,3,
2021-02-19 3:58:51,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-20 7:40:09,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-17 17:43:29,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-23 7:35:25,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-15 19:06:09,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-18 9:30:21,Connected,"Taylor, Flores and Douglas","Parks, Nash and Espinoza",YN-NZP-03,3,
2021-02-21 2:45:06,Disconnected,"Taylor, Flores and Douglas",Cantu-Lane,PL-PSP-39,3,
2021-02-20 20:01:10,Connected,Larson-Mccall,Benson Ltd,MO-RQJ-49,8,
2021-02-16 5:05:47,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-20 12:02:10,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-15 19:25:40,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-20 6:05:18,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-16 17:33:15,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-19 19:08:55,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,598-84-6937
2021-02-17 6:11:01,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-20 5:00:25,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-23 8:48:52,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-19 11:46:56,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-22 13:15:07,Connected,"Taylor, Flores and Douglas",Matthews-Phillips,YW-QRR-91,3,
2021-02-20 23:45:20,Connected,"Taylor, Flores and Douglas",Knight PLC,XQ-ZSS-50,3,
2021-02-21 23:39:51,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,598-84-6937
2021-02-19 7:43:58,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,
2021-02-21 12:41:14,Connected,"Taylor, Flores and Douglas",Gallagher-Moore,IO-MMI-57,3,
2021-02-22 23:45:49,Connected,"Taylor, Flores and Douglas",Brown-Jenkins,CF-MQK-54,3,
2021-02-19 15:32:36,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-20 22:19:29,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,598-84-6937
2021-02-16 12:24:02,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-16 18:36:00,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,598-84-6937
2021-02-23 0:04:45,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,324-50-2046
2021-02-22 7:36:38,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-20 5:24:59,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-19 5:20:50,Connected,"Taylor, Flores and Douglas",Gallagher-Moore,WF-QFJ-09,3,
2021-02-19 5:05:02,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-18 1:15:07,Connected,"Taylor, Flores and Douglas",Matthews-Phillips,YW-QRR-91,3,
2021-02-20 16:24:21,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-21 5:13:21,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-21 15:30:21,Connected,"Taylor, Flores and Douglas","Parks, Nash and Espinoza",YN-NZP-03,3,
2021-02-22 2:41:46,Connected,"Taylor, Flores and Douglas","Bell, Turner and Rodriguez",EI-IUO-83,3,
2021-02-21 11:58:35,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-20 17:31:31,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-20 3:40:45,Connected,"Taylor, Flores and Douglas","Bell, Turner and Rodriguez",EI-IUO-83,3,
2021-02-19 13:01:19,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-19 20:39:32,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,598-84-6937
2021-02-22 8:00:08,Connected,"Taylor, Flores and Douglas","Harris, Gross and Schmidt",EW-ONE-19,3,
2021-02-23 3:21:45,Connected,"Taylor, Flores and Douglas",Ochoa-Chavez,AI-CXD-88,3,
2021-02-21 5:45:07,Connected,"Taylor, Flores and Douglas",Matthews-Phillips,PD-PFG-92,3,
2021-02-23 7:15:50,Connected,"Taylor, Flores and Douglas",Brown-Jenkins,CK-XNN-42,3,
2021-02-22 10:26:00,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-19 6:06:57,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-20 4:49:51,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-17 3:30:06,Disconnected,"Taylor, Flores and Douglas","Moreno, Butler and Huff",TH-ODX-36,3,
2021-02-19 5:53:03,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,
2021-02-19 21:29:42,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,598-84-6937
2021-02-20 8:41:32,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-21 22:44:00,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,
2021-02-22 0:04:55,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,351-86-2983
2021-02-19 6:32:27,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-19 3:41:12,Connected,"Taylor, Flores and Douglas","Bell, Turner and Rodriguez",EI-IUO-83,3,
2021-02-18 7:45:44,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-18 20:45:21,Connected,"Taylor, Flores and Douglas",Knight PLC,XQ-ZSS-50,3,
2021-02-22 11:12:04,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-22 7:23:58,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-20 19:44:54,Connected,"Taylor, Flores and Douglas",Diaz Inc,ME-SZR-11,3,
2021-02-19 3:53:48,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-21 9:13:32,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-21 5:22:27,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-21 18:37:18,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-19 12:43:09,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-17 13:59:22,Disconnected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-16 7:47:52,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-18 7:05:49,Connected,Gonzalez-Hancock,Flynn-Mcgrath,ND-IRJ-15,8,
2021-02-19 6:25:00,Connected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-18 16:51:54,Connected,Gonzalez-Hancock,Bell LLC,OQ-XNB-63,5,
2021-02-16 12:31:47,Connected,Larson-Mccall,Benson Ltd,GR-TDN-28,8,
2021-02-19 3:09:49,Disconnected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-22 2:43:46,Connected,"Taylor, Flores and Douglas","Moreno, Butler and Huff",KL-RZN-01,3,
2021-02-19 8:46:56,Connected,Larson-Mccall,Benson Ltd,XX-PXF-22,8,
2021-02-23 4:17:44,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-23 8:54:30,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
2021-02-23 2:53:07,Connected,Gonzalez-Hancock,Thompson Group,EB-FVF-50,5,
2021-02-20 0:09:50,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,647-80-6730
2021-02-23 6:44:40,Disconnected,Larson-Mccall,Cohen PLC,FI-DMS-52,8,
2021-02-22 20:24:00,Connected,Gonzalez-Hancock,"Torres, Montoya and Neal",NW-CNY-73,5,598-84-6937
2021-02-23 2:40:46,Connected,"Taylor, Flores and Douglas","Berry, Meyer and Williams",VN-YHO-26,3,
2021-02-22 3:39:53,Connected,Larson-Mccall,Cohen PLC,GV-WTD-14,8,
